date,gallons,price,miles,car
6/22/2012,12.121,3.999,205.1,Mitsubishi
7/13/2012,12.567,3.779,194.7,Mitsubishi
7/31/2012,11.827,3.879,189.3,Mitsubishi
8/10/2012,10.543,3.899,165.1,Mitsubishi
8/13/2012,7.979,4.199,407,Mitsubishi
8/24/2012,13.182,4.219,218.5,Mitsubishi
8/31/2012,8.465,4.269,208,Mitsubishi
9/3/2012,6.787,4.299,245.7,Mitsubishi
9/21/2012,11.957,4.239,196.8,Mitsubishi
10/14/2012,12.566,4.759,197.4,Mitsubishi
11/6/2012,12.261,3.999,266.7,Mitsubishi
11/29/2012,12.031,3.799,210.5,Mitsubishi
12/17/2012,12.47,3.659,240.7,Mitsubishi
1/12/2013,12.115,3.699,198.8,Mitsubishi
2/6/2013,12.458,4.299,204.2,Mitsubishi
3/1/2013,11.964,4.279,184.7,Mitsubishi
3/23/2013,12.489,4.059,231.5,Mitsubishi
4/12/2013,12.47,4.059,184.4,Mitsubishi
5/2/2013,11.952,3.999,189.1,Mitsubishi
5/23/2013,12.789,4.139,191,Mitsubishi
7/1/2013,12.346,4.159,256.3,Mitsubishi
7/13/2013,12.514,4.059,179.1,Mitsubishi
8/5/2013,12.236,3.979,192.9,Mitsubishi
8/26/2013,12.177,3.899,197.3,Mitsubishi
9/2/2013,8.694,3.779,321.9,Mitsubishi
9/4/2013,11.048,4.039,214.3,Mitsubishi
9/25/2013,12.217,4.059,190,Mitsubishi
10/18/2013,12.826,3.959,206.2,Mitsubishi
11/10/2013,12.643,3.639,437.4,Mitsubishi
11/27/2013,12.756,3.639,222.8,Mitsubishi
12/18/2013,13.056,3.639,259.9,Mitsubishi
1/29/2014,12.471,3.699,219.5,Mitsubishi
2/20/2014,13.049,3.799,230.7,Mitsubishi
3/12/2014,12.357,3.979,223,Mitsubishi
3/31/2014,12.387,4.059,229.1,Mitsubishi
4/16/2014,12.755,4.269,221.6,Mitsubishi
5/2/2014,12.219,4.339,246.1,Mitsubishi
5/16/2014,13.653,4.259,259.2,Mitsubishi
5/30/2014,12.636,4.299,225.3,Mitsubishi
6/16/2014,12.548,4.279,225.9,Mitsubishi
7/1/2014,12.431,4.259,216.5,Mitsubishi
7/17/2014,12.283,4.199,200.1,Mitsubishi
8/2/2014,10.684,3.999,249.1,Mitsubishi
8/13/2014,12.954,3.959,236.5,Mitsubishi
8/28/2014,13.843,3.979,239.2,Mitsubishi
9/18/2014,12.508,3.959,231.4,Mitsubishi
10/2/2014,12.704,3.899,226.9,Mitsubishi
10/16/2014,12.929,3.799,244.5,Mitsubishi
11/1/2014,13.847,3.639,274,Mitsubishi
11/18/2014,12.392,3.319,139.6,Mitsubishi
11/27/2014,7.629,3.259,303.2,Mitsubishi
12/4/2014,12.468,3.199,223.1,Mitsubishi
12/22/2014,13.165,2.799,249.9,Mitsubishi
1/29/2015,13.348,2.599,233.9,Mitsubishi
2/17/2015,12.816,2.859,243.3,Mitsubishi
3/7/2015,13.396,3.559,288.7,Mitsubishi
3/24/2015,12.735,3.399,224.8,Mitsubishi
4/9/2015,12.207,3.399,224.4,Mitsubishi
4/24/2015,12.945,3.639,224.9,Mitsubishi
5/12/2015,12.692,3.839,233.9,Mitsubishi
5/28/2015,12.367,3.759,221.4,Mitsubishi
6/12/2015,12.058,3.759,207.7,Mitsubishi
6/26/2015,11.737,3.739,223.3,Mitsubishi
7/14/2015,12.727,3.859,214.5,Mitsubishi
7/30/2015,12.069,3.659,217.3,Mitsubishi
8/28/2015,12.597,3.359,221.1,Mitsubishi
9/14/2015,11.748,3.199,224.8,Mitsubishi
9/30/2015,12.991,3.059,214.5,Mitsubishi
10/15/2015,11.901,2.959,207.2,Mitsubishi
10/28/2015,12.296,2.899,234.8,Mitsubishi
11/13/2015,13.164,2.899,231.4,Mitsubishi
12/2/2015,12.668,2.859,225.4,Mitsubishi
1/11/2016,12.317,2.899,238.4,Mitsubishi
1/22/2016,12.254,2.859,233,Mitsubishi
2/3/2016,12.312,2.799,219.3,Mitsubishi
2/18/2016,12.326,2.499,217.2,Mitsubishi
3/4/2016,12.404,2.499,219.8,Mitsubishi
3/24/2016,12.062,2.899,216.4,Mitsubishi
4/18/2016,12.474,2.899,229.3,Mitsubishi
5/4/2016,12.882,2.999,212.6,Mitsubishi
5/19/2016,11.757,2.999,227.2,Mitsubishi
6/2/2016,12.586,2.999,233.5,Mitsubishi
6/15/2016,12.58,2.999,212.5,Mitsubishi
6/29/2016,12.16,3.059,200.8,Mitsubishi
7/14/2016,12.721,3.099,250.5,Mitsubishi
7/28/2016,12.849,3.099,220.6,Mitsubishi
8/11/2016,12.738,3.099,207.4,Mitsubishi
8/25/2016,12.283,3.099,217.2,Mitsubishi
9/7/2016,12.741,2.959,211.6,Mitsubishi
9/26/2016,12.81,2.959,234.5,Mitsubishi
10/10/2016,13.098,2.959,228.9,Mitsubishi
11/5/2016,12.704,2.959,220.4,Mitsubishi
12/5/2016,12.122,2.799,201.1,Mitsubishi
1/24/2017,13.049,2.69,237.7,Mitsubishi
2/16/2017,12.445,2.79,216.6,Mitsubishi
3/10/2017,13.173,2.86,220.1,Mitsubishi
4/19/2017,13.583,2.99,247.6,Mitsubishi
5/16/2017,12.502,2.96,191.6,Mitsubishi
6/8/2017,12.426,3.14,223.8,Mitsubishi
7/12/2017,14.063,2.95,227.6,Mitsubishi
8/18/2017,13.967,2.9,229.6,Mitsubishi
9/25/2017,14.205,3,262.2,Mitsubishi
10/27/2017,12.456,3.159,239.3,Mitsubishi
12/6/2017,12.664,3.359,231.6,Mitsubishi
2/26/2018,12.573,3.559,229.6,Mitsubishi
5/7/2018,13.435,3.799,232.5,Mitsubishi
6/26/2018,12.726,3.799,222.5,Mitsubishi
8/15/2018,12.603,3.759,237.4,Mitsubishi
12/2/2018,12.692,3.799,231.8,Mitsubishi
2/14/2019,13.026,3.359,226.9,Mitsubishi
3/17/2019,12.85,3.559,228.3,Mitsubishi
4/13/2019,12.858,4.159,224.8,Mitsubishi
5/9/2019,12.882,4.299,216.1,Mitsubishi
6/23/2019,12.776,3.899,63.86,Mitsubishi
6/29/2019,12.5,0,514.4,BMW
8/4/2019,8.758,4.099,355.6,BMW
8/8/2019,10.2122,4.099,549.4,BMW
10/8/2019,8.808,4.539,545,BMW
12/28/2019,9.613,3.999,678.6,BMW
11/26/2020,10.703,3.999,489,BMW
09/06/2021,7.635,4.999,359.5,BMW
09/07/2021,10.458,4.959,632.4,BMW
11/23/2021,7.016,5.399,379.2,BMW
01/02/2022,10.835,5.299,516.2,BMW
10/06/2022,7.318,7.099,424.4,BMW
01/31/2023,10.070,5.299,,BMW
